Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BatteryHolder_Keystone_1042_1x18650,173.8,-56.3,180,bottom
SW3,SW_RST,SW_SPST_Omron_B3FS-105xP,197.55,-36.6,90,bottom
AFF1,LTS-6960HR,7SegmentLED_LTS6760_LTS6780,139.52,-43.8,90,top
C1,C100N,C_0603_1608Metric,155.725,-61.1,0,top
C2,C10U,C_0603_1608Metric,207,-65.7,180,top
C3,C10U,C_0603_1608Metric,136.4,-54.175,-90,top
C4,C100N,C_0603_1608Metric,172.8,-44.1,90,top
C5,C10U,C_0603_1608Metric,214.7,-52,90,top
C6,C100N,C_0603_1608Metric,207,-64,180,top
C7,C100N,C_0603_1608Metric,138.2,-54.175,-90,top
C8,C100N,C_0603_1608Metric,216.4,-52,90,top
C9,C100N,C_0603_1608Metric,174.8,-44.1,90,top
C10,C10U,C_0603_1608Metric,211,-52,90,top
C11,C20P,C_0603_1608Metric,158.5,-56.875,90,top
C12,C100N,C_0603_1608Metric,212.7,-52,90,top
C13,C20P,C_0603_1608Metric,158.5,-60.825,-90,top
C14,C100N,C_0603_1608Metric,195.525,-67,0,top
C15,C100N,C_0603_1608Metric,184.8,-60.3,180,top
C16,C100N,C_0603_1608Metric,184.8,-58.6,180,top
C17,C100N,C_0603_1608Metric,198.125,-46.6,180,top
C18,C10U,C_0603_1608Metric,200.1,-59,180,top
C19,C10U,C_0603_1608Metric,143.3,-60.4,90,top
C20,C100N,C_0603_1608Metric,141.6,-60.4,90,top
C21,C4U7,C_0603_1608Metric,191.025,-36.4,180,top
C22,C4U7,C_0603_1608Metric,191.05,-43.9,0,top
D1,LED_DUAL,"SMD,2x3mm",204.5,-78.2,180,top
D2,BAT00,LED_Rectangular_W5.0mm_H2.0mm,167.8,-72.94,90,top
D3,BAT25,LED_Rectangular_W5.0mm_H2.0mm,170.8,-72.94,90,top
D4,BAT50,LED_Rectangular_W5.0mm_H2.0mm,173.8,-72.94,90,top
D5,BAT75,LED_Rectangular_W5.0mm_H2.0mm,176.8,-72.94,90,top
D6,BAT100,LED_Rectangular_W5.0mm_H2.0mm,179.8,-72.94,90,top
D7,LED_DUAL,"SMD-4P,3.5x2.8mm",155,-35.5,0,top
