Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BatteryHolder_Keystone_1042_1x18650,173.8,-56.3,180,bottom
SW4,SW_Out,SW_SPST_Omron_B3FS-105xP,197.55,-36.6,90,bottom
AFF1,LTS-6960HR,7SegmentLED_LTS6760_LTS6780,139.52,-43.8,90,top
BAR1,HDSP-4830_2,HDSP-4830,185.26,-68.2,-90,top
C1,C100N,C_0603_1608Metric,184.8,-60.3,180,top
C2,C100N,C_0603_1608Metric,184.8,-58.6,180,top
C3,C10U,C_0603_1608Metric,204.875,-28.9,0,top
C4,C100N,C_0603_1608Metric,204.875,-30.6,0,top
C5,C10U,C_0603_1608Metric,136.4,-54.175,-90,top
C6,C100N,C_0603_1608Metric,138.2,-54.175,-90,top
C7,C10U,C_0603_1608Metric,214.7,-52.075,90,top
C8,C100N,C_0603_1608Metric,216.4,-52.075,90,top
C9,C10U,C_0603_1608Metric,211,-52,90,top
C10,C100N,C_0603_1608Metric,212.7,-52,90,top
C11,C100N,C_0603_1608Metric,195.525,-67,0,top
C12,C100N,C_0603_1608Metric,198.125,-46,0,top
C13,C10U,C_0603_1608Metric,200.1,-59,180,top
C14,C10U,C_0603_1608Metric,143.3,-60.4,90,top
C15,C100N,C_0603_1608Metric,141.6,-60.4,90,top
C16,C4U7,C_0603_1608Metric,198.05,-31.4,180,top
C17,C4U7,C_0603_1608Metric,198.075,-38.9,0,top
C18,C100N,C_0603_1608Metric,155.725,-61.1,0,top
C19,C20P,C_0603_1608Metric,158.5,-56.875,90,top
C20,C20P,C_0603_1608Metric,158.5,-60.825,-90,top
C21,C100N,C_0603_1608Metric,172.8,-44.1,90,top
C22,C100N,C_0603_1608Metric,174.8,-44.1,90,top
D1,PC13,LED_0805_2012Metric,159.3375,-49.7,0,top
D2,D_OK,LED_D5.0mm,156.6,-34.8,0,top
D3,D_ERR,LED_D5.0mm,156.6,-43.8,0,top
D4,D_MSON,LED_D5.0mm,188.6,-34.8,0,top
D5,D_MSOFF,LED_D5.0mm,188.6,-43.8,0,top
D6,LED,LED_D5.0mm,203.6,-34.8,0,top
